viReference,viCodeInsee,viCodePostal,viVille,viLambertX,viLambertY
5896,17241,17270,Montguyon,450469,6462877
5897,17242,17800,Montils,427491,6511646
5898,17244,17260,Montpellier-de-médillan,407934,6510321
5899,17245,17220,Montroy,389862,6569027
5900,17246,17430,Moragne,405860,6548221
5901,17247,17113,Mornac-sur-seudre,386655,6521377
5902,17248,17120,Mortagne-sur-gironde,404803,6493794
5903,17249,17500,Mortiers,440330,6483302
5904,17250,17240,Mosnac,425192,6495074
5905,17251,17130,Moulons,439220,6475568
5906,17252,17350,Le Mung,413074,6536760
5907,17253,17430,Muron,403862,6554988
5908,17254,17380,Nachamps,420037,6553113
5909,17255,17600,Nancras,398472,6524120
5910,17256,17770,Nantillé,430123,6535985
5911,17257,17510,Néré,449954,6546257
5912,17258,17520,Neuillac,434650,6496882
5913,17259,17500,Neulles,432994,6494731
5914,17261,17490,Neuvicq-le-château,453838,6527205
5915,17262,17810,Nieul-lès-stes,410225,6525777
5916,17263,17150,Nieul-le-virouil,424015,6486233
5917,17264,17137,Nieul-sur-mer,378593,6575172
5918,17265,17600,Nieulle-sur-seudre,390707,6524507
5919,17266,17380,Les Nouillers,415708,6543308
5920,17267,17540,Nuaillé-d'aunis,397186,6576442
5921,17268,17470,Nuaillé-sur-boutonne,435398,6550204
5922,17269,17210,Orignolles,446593,6464146
5923,17270,17500,Ozillac,434077,6483568
5924,17271,17470,Paillé,438396,6547852
5925,17272,17700,Péré,404903,6560497
5926,17273,17800,Pérignac,429679,6508215
5927,17274,17180,Périgny,385237,6569265
5928,17275,17810,Pessines,410792,6521303
5929,17278,17600,Pisany,405972,6518197
5930,17279,17240,Plassac,421141,6491921
5931,17280,17250,Plassay,410487,6531323
5932,17281,17210,Polignac,441336,6469921
5933,17283,17800,Pons,423251,6504054
5934,17284,17250,Pont-l'abbé-d'arnoult,398908,6532994
5935,17285,17350,Port-d'envaux,414417,6532251
5936,17288,17400,Poursay-garnaud,431288,6544826
5937,17289,17460,Préguillac,418256,6514286
5938,17291,17138,Puilboreau,383868,6572672
5939,17292,17380,Puy-du-lac,412047,6547926
5940,17293,17700,Puyravault,406714,6565968
5941,17294,17380,Puyrolland,421633,6554152
5942,17295,17500,Réaux,436801,6492344
5943,17296,17460,Rétaud,409753,6515794
5944,17297,17940,Rivedoux-plage,370713,6572257
5945,17298,17460,Rioux,410269,6510211
5946,17299,17300,Rochefort,391714,6544471
5947,17300,17000,La Rochelle,379958,6571764
5948,17301,17510,Romazières,454641,6547178
5949,17302,17250,Romegoux,405325,6537129
5950,17304,17800,Rouffiac,429194,6514906
5951,17305,17130,Rouffignac,429829,6475971
5952,17306,17200,Royan,386145,6511395
5953,17307,17600,Sablonceaux,398308,6520793
5954,17308,17620,St-agnant,392153,6537777
5955,17309,17360,St-aigulin,462720,6454616
5956,17310,17260,St-andré-de-lidon,407776,6506993
5957,17311,17570,St-augustin,379432,6517302
5958,17312,17150,St-bonnet-sur-gironde,412716,6478967
5959,17313,17770,St-bris-des-bois,429634,6524890
5960,17315,17220,St-christophe,396689,6566459
5961,17316,17520,St-ciers-champagne,442125,6488784
5962,17317,17240,St-ciers-du-taillon,414640,6486660
5963,17318,17590,St-clément-des-baleines,350297,6580071
5964,17320,17430,St-coutant-le-grand,409621,6545817
5965,17321,17380,St-crépin,411431,6551290
